9;Tab
291c;rAtail
291d;larrfs
291e;rarrfs
291f;larrbfs
2920;rarrbfs
2923;nwarhk
2924;nearhk
2925;searhk,hksearow
2926;swarhk,hkswarow
2927;nwnear
2928;nesear,toea
2929;seswar,tosa
292a;swnwar
2933;rarrc
2935;cudarrr
2936;ldca
2937;rdca
2938;cudarrl
2939;larrpl
293c;curarrm
293d;cularrp
2945;rarrpl
2948;harrcir
2949;Uarrocir
294a;lurdshar
294b;ldrushar
294e;LeftRightVector
294f;RightUpDownVector
2950;DownLeftRightVector
2951;LeftUpDownVector
2952;LeftVectorBar
2953;RightVectorBar
2954;RightUpVectorBar
2955;RightDownVectorBar
2956;DownLeftVectorBar
2957;DownRightVectorBar
2958;LeftUpVectorBar
2959;LeftDownVectorBar
295a;LeftTeeVector
295b;RightTeeVector
295c;RightUpTeeVector
295d;RightDownTeeVector
295e;DownLeftTeeVector
295f;DownRightTeeVector
2960;LeftUpTeeVector
2961;LeftDownTeeVector
2962;lHar
2963;uHar
2964;rHar
2965;dHar
2966;luruhar
2967;ldrdhar
2968;ruluhar
2969;rdldhar
296a;lharul
296b;llhard
296c;rharul
296d;lrhard
296e;udhar,UpEquilibrium
296f;duhar,ReverseUpEquilibrium
2970;RoundImplies
2971;erarr
2972;simrarr
2973;larrsim
2974;rarrsim
2975;rarrap
2976;ltlarr
2978;gtrarr
2979;subrarr
297b;suplarr
297c;lfisht
297d;rfisht
297e;ufisht
297f;dfisht
2985;lopar
2986;ropar
298b;lbrke
298c;rbrke
298d;lbrkslu
298e;rbrksld
298f;lbrksld
2990;rbrkslu
2991;langd
2992;rangd
2993;lparlt
2994;rpargt
2995;gtlPar
2996;ltrPar
299a;vzigzag
299c;vangrt
299d;angrtvbd
29a4;ange
29a5;range
29a6;dwangle
29a7;uwangle
29a8;angmsdaa
29a9;angmsdab
29aa;angmsdac
29ab;angmsdad
29ac;angmsdae
29ad;angmsdaf
29ae;angmsdag
29af;angmsdah
29b0;bemptyv
29b1;demptyv
29b2;cemptyv
29b3;raemptyv
29b4;laemptyv
29b5;ohbar
29b6;omid
29b7;opar
29b9;operp
29bb;olcross
29bc;odsold
29be;olcir
29bf;ofcir
29c0;olt
29c1;ogt
29c2;cirscir
29c3;cirE
29c4;solb
29c5;bsolb
29c9;boxbox
29cd;trisb
29ce;rtriltri
29cf;LeftTriangleBar
29d0;RightTriangleBar
29da;race
29dc;iinfin
29dd;infintie
29de;nvinfin
